enterprise_id,period,sector,region,ca_segment,n_employes,gt_ca_reel,gt_benefice_reel,gt_tva_active,gt_tva_compliance,gt_is_active,gt_is_compliance,gt_imf_active,gt_imf_compliance,gt_tpu_active,gt_tpu_compliance,obs_ca_declare,obs_tva_declaree,obs_tva_assujetti_declare,obs_is_declare,obs_benefice_declare,obs_tpu_paye,obs_retard_paiement_jours,obs_has_compte_bancaire,obs_utilise_facturation_elec,obs_a_ete_audite,obs_n_employes_declare,obs_ratio_sous_declaration,obs_tva_missing,obs_is_missing,obs_benefice_missing,obs_tpu_missing,label_tva_non_conforme,label_is_non_conforme,label_tpu_non_conforme,label_any_non_conforme
ENT_00010,2022_2024,restauration,Dapaong,rsi,16,88584983.42609729,7966318.796559041,1,0.5742702979790029,0,0.7946483435901053,0,0.850931857608137,0,0.4111377287733115,54134837.35640172,9712363.50616143,1,0.0,3534246.521090633,,29,0,1,0,13,0.6111062537090627,0,0,0,1,0,0,0,0
ENT_00011,2022_2024,BTP,Kara,informal,1,12673023.533201002,1930494.4088863696,0,0.7327964238353292,0,0.4383213351745078,0,0.6094670357332665,1,0.4089739436719571,10069847.63154916,0.0,0,0.0,1461269.8537588967,1.0,6,0,0,0,0,0.7945892000569559,0,0,0,0,0,0,0,0
ENT_00012,2022_2024,industrie,Lomé,rsi,18,81270460.08432049,9994624.835661678,1,0.5006962242591254,0,0.6824443635154662,0,0.9309589835860778,0,0.4025406867784598,60612752.73786973,7166429.720147052,1,0.0,,,8,0,0,1,15,0.7458153020787901,0,0,1,1,0,0,0,0
ENT_00013,2022_2024,services,Sokodé,informal,4,13214791.21416046,894961.577393223,0,0.8858815975093336,0,0.7762377264386846,0,0.9808135985240708,1,0.2105518609492088,10117594.657044396,0.0,0,,613554.6593495036,0.0,16,0,0,0,3,0.7656265235732799,0,1,0,0,0,0,1,1
ENT_00014,2022_2024,industrie,Dapaong,informal,1,7651266.519712948,466479.8203648396,0,0.7261779943487495,0,0.4782089272161657,0,0.948338045514858,1,0.3204586630915349,4122726.668871487,0.0,0,0.0,196169.97452209692,0.0,4,0,0,0,0,0.5388293112322741,0,0,0,0,0,0,0,0
ENT_00015,2022_2024,agriculture,Lomé,large,224,693212419.3235614,28386032.27333353,1,0.9707529346290956,1,0.479308001977402,1,0.8281943794463648,0,0.1371334323929713,453376320.12286913,115627596.93331532,1,3057530.266824783,,,9,1,1,0,190,0.6540222123620851,0,0,1,1,0,1,0,1
ENT_00016,2022_2024,commerce,Aného,large,182,793514592.8840458,19949079.743513264,1,0.7281202382333539,1,0.6968178655538819,1,0.6967726865454977,0,0.2895359018454381,529095365.5801872,108461926.48837192,1,5008193.084948044,13805432.494868506,,2,1,0,0,154,0.6667745877957691,0,0,0,1,0,0,0,0
ENT_00017,2022_2024,BTP,Atakpamé,rsi,9,50573424.74596823,3827279.087916292,0,0.8086939053332634,0,0.1434992928808678,0,0.6536165425640585,0,0.2040240322167772,41712222.07387058,,0,0.0,1511032.949346553,,12,0,0,0,7,0.8247853943724845,1,0,0,1,0,0,0,0
ENT_00018,2022_2024,transport,Aného,informal,2,7744875.72393066,428790.3095565981,0,0.9642688149099692,0,0.8349449623180164,0,0.9066021642696576,1,0.2206307747010683,5012573.289202336,,0,0.0,,0.0,39,0,0,0,1,0.647211584520864,1,0,1,0,0,0,1,1
ENT_00019,2022_2024,transport,Aného,rsi,5,37798393.5085984,4324454.485426905,0,0.7750920477342482,0,0.2602336029460495,0,0.7496340967518075,0,0.3275194870919771,20759635.568739537,,0,0.0,3623760.818125912,,3,0,0,0,4,0.5492200498949016,1,0,0,1,0,0,0,0
ENT_00020,2022_2024,restauration,Atakpamé,informal,1,4694317.93267331,65848.71958917167,0,0.8500806321602772,0,0.6278325460606561,0,0.6675744780241285,1,0.2842660947386152,3303575.906262737,,0,0.0,41984.21800865704,,0,1,1,0,0,0.703739276641074,1,0,0,1,0,0,1,1
ENT_00021,2022_2024,restauration,Kara,informal,2,14379946.124576086,761979.9219647407,0,0.740354185262252,0,0.8625507347230218,0,0.8341795912890855,1,0.3223888048058052,6752928.618189149,0.0,0,0.0,479213.501091401,0.0,0,1,0,0,1,0.4696073656804623,0,0,0,0,0,0,0,0
ENT_00022,2022_2024,agriculture,Lomé,informal,2,12618554.793580828,941361.1891106156,0,0.8860596504880577,0,0.6693372516500748,0,0.8325630622651906,1,0.127455094816851,9163484.7015221,0.0,0,0.0,625685.8348831147,0.0,95,0,0,0,1,0.7261912993541578,0,0,0,0,0,0,1,1
ENT_00023,2022_2024,industrie,Aného,large,136,762493614.1352836,46138280.153494,1,0.8761644748591726,1,0.5988714325835103,1,0.8443283380094079,0,0.3324869365691075,644663538.6782722,125680273.54631352,1,,41836071.918974034,,1,1,1,0,115,0.8454674593037239,0,1,0,1,0,0,0,0
ENT_00024,2022_2024,agriculture,Dapaong,large,252,695882794.7016263,56522842.11103795,1,0.7259212924320958,1,0.5760006087717858,1,0.7385225643165758,0,0.0805394248389726,389458121.2299464,,1,7980868.927683928,43248198.070696495,,2,1,0,0,214,0.5596605120793859,1,0,0,1,0,0,0,0
ENT_00025,2022_2024,services,Kara,informal,6,25662349.208993845,1129047.2747655348,0,0.8189451277668748,0,0.4198197560325068,0,0.8727569154993816,1,0.568634360580872,10904085.666910635,0.0,0,,703588.6576230628,1.0,0,1,0,0,5,0.4249059810583942,0,1,0,0,0,0,0,0
ENT_00026,2022_2024,agriculture,Sokodé,informal,2,12466034.62560343,531939.9633999792,0,0.9436830522143448,0,0.7643958533604316,0,0.8987761328412919,1,0.2698472394287582,9703969.987175344,0.0,0,,419347.464116922,0.0,18,0,0,0,1,0.7784327798388105,0,1,0,0,0,0,1,1
ENT_00027,2022_2024,industrie,Tsévié,informal,4,23618072.42420912,2839383.633297542,0,0.5508956550933927,0,0.7309072412086602,0,0.9130537810307152,1,0.0923108623720554,19477205.52231757,0.0,0,0.0,,0.0,14,0,0,1,3,0.8246737994737006,0,0,1,0,0,0,1,1
ENT_00028,2022_2024,commerce,Lomé,rsi,8,40792678.83567175,3096983.438484731,0,0.5660644016476657,0,0.3340525695135584,0,0.8621740036732037,0,0.0766929403294161,22055399.978782985,0.0,0,,1981275.2246508452,,6,1,0,0,6,0.5406705469780602,0,1,0,1,0,0,0,0
ENT_00029,2022_2024,services,Dapaong,large,329,1265713218.8165228,129105899.27477138,1,0.6837842660924177,1,0.6360670240060112,1,0.8225483402144703,0,0.0702017621255682,488673749.8309698,,1,,95240925.75405727,,1,1,0,0,279,0.3860856808368434,1,1,0,1,0,0,0,0
ENT_00030,2022_2024,BTP,Sokodé,informal,3,14647687.76658116,1728922.7841955055,0,0.8657504092982652,0,0.5652857110681737,0,0.9622455418531116,1,0.3925909977332332,11543449.171278918,0.0,0,0.0,1411105.966091104,,6,0,0,0,2,0.7880731317618204,0,0,0,1,0,0,0,0
ENT_00031,2022_2024,agriculture,Dapaong,informal,3,20698891.026569195,1261516.4148652854,0,0.8348104740336705,0,0.740896877565523,0,0.8716443194179397,1,0.0800579789896329,10720102.147755813,,0,0.0,819996.4996592122,0.0,6,0,0,0,2,0.5179070769538058,1,0,0,0,0,0,1,1
ENT_00032,2022_2024,BTP,Lomé,large,68,669229252.8010268,55635340.27823217,1,0.882898241050603,1,0.444093968759394,1,0.9127326184525476,0,0.1763860098182496,387180487.5306834,117557187.28119278,1,6205685.017324085,40089707.21085968,,5,1,1,0,57,0.5785468670267447,0,0,0,1,0,1,0,1
ENT_00033,2022_2024,services,Tsévié,informal,1,9255931.101405172,451095.7879468875,0,0.8358479072305164,0,0.6438180297555172,0,0.9364808077591666,1,0.500797022750869,6573836.1382760815,0.0,0,0.0,254699.25557678548,0.0,13,1,1,0,0,0.7102295886016359,0,0,0,0,0,0,0,0
ENT_00034,2022_2024,restauration,Atakpamé,informal,3,14234065.852381311,1740581.0004514807,0,0.849180098872626,0,0.7052408081103264,0,0.8428226790921916,1,0.2529259743477857,9362269.114248058,0.0,0,0.0,1260847.4252804103,0.0,2,1,0,0,2,0.6577368133140806,0,0,0,0,0,0,1,1
ENT_00035,2022_2024,industrie,Atakpamé,informal,4,19559515.780115116,82827.53992359602,0,0.8303803074693441,0,0.4966385904504841,0,0.7993335826969611,1,0.3745823244948246,9339749.24736892,,0,0.0,60383.72928037666,0.0,8,0,0,0,3,0.4775041137196266,1,0,0,0,0,0,0,0
ENT_00036,2022_2024,agriculture,Aného,informal,1,10065883.996059649,283736.4327261131,0,0.8800037067403089,0,0.6891310065860046,0,0.9981818889977008,1,0.1136005737094652,8669821.952498116,0.0,0,0.0,169483.28951749956,0.0,45,0,0,0,0,0.8613075568814395,0,0,0,0,0,0,1,1
ENT_00037,2022_2024,BTP,Sokodé,informal,2,14880503.561553076,1318991.9253646734,0,0.9730707195417188,0,0.5712828470789003,0,0.8295463911077116,1,0.2344213076977308,11405908.686741132,,0,,,0.0,26,1,0,0,1,0.7665001819031654,1,1,1,0,0,0,1,1
ENT_00038,2022_2024,BTP,Dapaong,informal,1,12113053.653323468,1263123.7103305475,0,0.8980114394257905,0,0.5900214521093917,0,0.8755692268133628,1,0.1710726132115567,7195750.655854571,,0,0.0,962627.461869319,0.0,23,0,0,0,0,0.5940492679878675,1,0,0,0,0,0,1,1
ENT_00039,2022_2024,agriculture,Atakpamé,informal,7,17774716.425586514,1499799.641543826,0,0.7197486144721902,0,0.5047538942257435,0,0.7939625341833477,1,0.1664769449450796,13193691.47454279,,0,0.0,755280.3950363141,0.0,3,0,0,0,5,0.7422729656350867,1,0,0,0,0,0,1,1
ENT_00040,2022_2024,BTP,Dapaong,informal,2,11994982.485293116,843894.8665624879,0,0.6939883187121512,0,0.5142112460586278,0,0.974865538242332,1,0.3783193098883204,8219679.103312451,,0,0.0,545035.0587892712,,15,0,0,0,1,0.6852597836962654,1,0,0,1,0,0,0,0
ENT_00041,2022_2024,transport,Dapaong,informal,4,18251766.63186871,1271653.7566859657,0,0.881043816728433,0,0.8481551273141352,0,0.7500693873546415,1,0.1887272574457681,9338241.589083502,0.0,0,0.0,1107891.1037272096,,2,0,1,0,3,0.511634943478751,0,0,0,1,0,0,1,1
ENT_00042,2022_2024,restauration,Tsévié,large,265,1374068418.4163358,128643183.66467236,1,0.6397116446078224,1,0.6418398865384778,1,0.9374136869927352,0,0.1274770246559227,909852721.9737614,,1,,72033306.13999625,,10,1,0,0,225,0.6621596929084507,1,1,0,1,0,0,0,0
ENT_00043,2022_2024,transport,Kara,informal,3,21190233.1990187,1458903.9510215349,0,0.8089418006270465,0,0.8367218955840212,0,0.9257182045131874,1,0.0622550834551845,15921280.13019642,0.0,0,,671578.1439197161,0.0,9,0,0,0,2,0.7513499252539477,0,1,0,0,0,0,1,1
ENT_00044,2022_2024,restauration,Sokodé,rsi,9,58550084.45955956,5924124.055077682,0,0.8030588093560979,0,0.6893796032227731,0,0.7437661450206603,0,0.3018499071416072,41972844.05405343,0.0,0,0.0,4748740.328872369,,1,1,0,0,7,0.7168707687013501,0,0,0,1,0,0,0,0
ENT_00045,2022_2024,commerce,Dapaong,rsi,19,75813960.94047223,7351758.957458538,1,0.6582336192361069,0,0.7117666787520418,0,0.9399850070969672,0,0.4774260325564289,46052193.594363846,,1,0.0,4661638.528059526,,13,1,0,1,16,0.6074368496657655,1,0,0,1,0,0,0,0
ENT_00046,2022_2024,restauration,Dapaong,informal,2,12874287.434088618,1212022.4236378316,0,0.7505696732981342,0,0.7088923690357654,0,0.9736865708202198,1,0.3203853361846979,10128934.63131314,0.0,0,0.0,782290.512865945,0.0,23,0,0,0,1,0.7867569124248139,0,0,0,0,0,0,0,0
ENT_00047,2022_2024,services,Aného,large,241,940185958.4916756,97571905.42493436,1,0.8193212680676524,1,0.7847268162466146,1,0.9439269163852556,0,0.4155354104128966,912971960.7529068,156388305.98193356,1,19720547.4493452,87742602.18062589,,4,1,0,0,204,0.9710546647788404,0,0,0,1,0,0,0,0
ENT_00048,2022_2024,BTP,Dapaong,rsi,11,53086858.80203375,2940614.3768873285,0,0.8219442877349153,0,0.8027736992761642,0,0.7804590146118253,0,0.4862166218287215,41055032.60306023,0.0,0,0.0,,,2,0,0,0,9,0.7733558460514417,0,0,1,1,0,0,0,0
ENT_00049,2022_2024,BTP,Sokodé,informal,1,7199974.463887516,492392.4771357295,0,0.8254578988476807,0,0.6252840474444836,0,0.8467123107373165,1,0.5104389509182964,4952432.129607671,0.0,0,0.0,322390.2698737219,1.0,18,1,0,0,0,0.6878402353296238,0,0,0,0,0,0,0,0
ENT_00050,2022_2024,industrie,Kara,informal,1,6505009.292443894,430967.0433819965,0,0.9422657326950904,0,0.7658450807782364,0,0.8725610869073376,1,0.346952371861045,5096242.54408769,0.0,0,0.0,335153.2813242113,1.0,0,1,0,0,0,0.7834335532783016,0,0,0,0,0,0,0,0
ENT_00051,2022_2024,restauration,Dapaong,informal,1,5616240.18853838,493099.4804574885,0,0.6181324626409141,0,0.5168305734865057,0,0.8707891790257857,1,0.2526998613898605,3522183.944790267,0.0,0,0.0,,0.0,1,0,1,0,0,0.627142683815115,0,0,1,0,0,0,1,1
ENT_00052,2022_2024,agriculture,Kara,rsi,14,86961092.43355086,1227614.0511089745,1,0.875347528143778,0,0.3551708411545133,0,0.8829590561325564,0,0.2239206659312942,80065059.36856396,12138225.041343031,1,0.0,697254.655475791,,16,1,1,0,11,0.9206997880085702,0,0,0,1,0,0,0,0
ENT_00053,2022_2024,industrie,Aného,informal,4,14022781.623141712,1039356.0009045895,0,0.8210862401798118,0,0.756994303160874,0,0.930230613703797,1,0.4234450599146985,11486159.918896502,0.0,0,0.0,,,5,1,1,0,3,0.8191070949818516,0,0,1,1,0,0,0,0
ENT_00054,2022_2024,services,Dapaong,informal,6,13830630.297736907,1548096.8695476507,0,0.7776559154224791,0,0.5352419257621422,0,0.7285899930409073,1,0.3798547332198118,7739343.482386193,0.0,0,0.0,886349.4450020425,0.0,4,1,0,0,5,0.5595799551993357,0,0,0,0,0,0,0,0
ENT_00055,2022_2024,restauration,Kara,informal,2,8026661.409843103,778207.9107344218,0,0.7538618445469787,0,0.8354402543266215,0,0.7567355453148207,1,0.2445376234655066,5715779.286225772,0.0,0,0.0,630549.4812362934,0.0,23,0,0,0,1,0.7120992146518733,0,0,0,0,0,0,1,1
ENT_00056,2022_2024,BTP,Tsévié,informal,1,11251482.310466418,1087239.6635212752,0,0.8374275845188647,0,0.3460943847186942,0,0.8475120777489185,1,0.3171922169812057,7949375.980806731,0.0,0,,791691.0496072837,1.0,50,0,1,0,0,0.7065181068108703,0,1,0,0,0,0,0,0
ENT_00057,2022_2024,agriculture,Dapaong,informal,2,20256654.256125785,1639648.060415291,0,0.5903656796291544,0,0.398522125583854,0,0.8037367508542513,1,0.4548939523057948,18263935.79210542,0.0,0,0.0,1402256.4047283095,0.0,12,1,0,0,1,0.9016264759804672,0,0,0,0,0,0,0,0
ENT_00058,2022_2024,industrie,Kara,large,170,805474845.5612031,75067054.24171373,1,0.7380165447041375,1,0.5701276813177636,1,0.7973506836285414,0,0.2728082952360401,580728288.8934556,92473276.33073737,1,11024156.133633278,59836709.52775027,,6,1,0,0,144,0.7209763186196603,0,0,0,1,0,0,0,0
ENT_00059,2022_2024,agriculture,Kara,informal,3,26256411.44424393,812419.1262969776,0,0.8384953706452201,0,0.4618192645110779,0,0.9214532427037154,1,0.4766817414931976,23449443.41511316,0.0,0,0.0,408311.00804831774,0.0,19,0,1,1,2,0.8930939959144292,0,0,0,0,0,0,0,0
ENT_00060,2022_2024,agriculture,Dapaong,informal,1,11885493.189927977,1589551.7326285862,0,0.8410609306740814,0,0.6356337985111281,0,0.666447000497198,1,0.1775697156835147,9968825.24771512,,0,0.0,1066072.7096205384,0.0,10,0,0,0,0,0.838738880113357,1,0,0,0,0,0,1,1
ENT_00061,2022_2024,industrie,Sokodé,informal,1,12145892.10293422,108889.76358085452,0,0.867491807922336,0,0.516809419763463,0,0.978878808739926,1,0.2107756005959189,7642599.801935824,,0,0.0,81114.34257159995,1.0,4,0,0,0,0,0.6292333026809545,1,0,0,0,0,0,1,1
ENT_00062,2022_2024,industrie,Dapaong,informal,1,8387491.831034271,979857.6440802844,0,0.9721655601049662,0,0.4196007104217527,0,0.6470881707925806,1,0.2606690773281853,6203999.576513227,0.0,0,0.0,444840.86434498575,,4,1,0,0,0,0.7396728010581209,0,0,0,1,0,0,1,1
ENT_00063,2022_2024,agriculture,Kara,rsi,11,42116764.089580186,305004.5711263688,0,0.7431298103390077,0,0.2342156687239729,0,0.8941348627467662,0,0.3428246789287945,29755864.93714503,0.0,0,0.0,183019.9833490549,,3,0,0,0,9,0.7065088114047849,0,0,0,1,0,0,0,0
ENT_00064,2022_2024,services,Aného,rsi,14,85986003.51630257,11659751.220843472,1,0.8706332007127153,0,0.4939782967579105,0,0.9369750834852556,0,0.2959479619866059,42308708.49728053,12524361.502445238,1,,5915802.079535221,,0,1,0,0,11,0.4920418064232859,0,1,0,1,0,0,0,0
ENT_00065,2022_2024,transport,Dapaong,informal,2,18609464.06062936,1648662.968322788,0,0.8717993233535067,0,0.2052009355098294,0,0.9606948839544248,1,0.2968693711733017,15067351.107822591,0.0,0,0.0,1260347.5032277815,0.0,4,0,0,0,1,0.8096606682886397,0,0,0,0,0,0,1,1
ENT_00066,2022_2024,BTP,Tsévié,informal,1,6413186.4097449565,437508.8989956056,0,0.971980575872019,0,0.5208563853303795,0,0.898617274368177,1,0.1739815428275108,3796891.249982121,0.0,0,0.0,351375.9902909738,0.0,3,1,0,0,0,0.5920444233794099,0,0,0,0,0,0,1,1
ENT_00067,2022_2024,transport,Atakpamé,rsi,23,90202249.73895544,6932779.811398882,1,0.7175331870090753,0,0.6778700355312011,0,0.903969658247008,0,0.2996799272494326,66607515.046594486,14088821.223250208,1,,,,2,0,1,0,19,0.7384240996134362,0,1,1,1,0,0,0,0
ENT_00068,2022_2024,industrie,Sokodé,rsi,13,52585533.573609024,3642712.1974134953,0,0.749725199716997,0,0.6964100266496952,0,0.7971742914595551,0,0.2567053034067056,43700279.49460802,0.0,0,,2704693.377819803,,8,1,1,0,11,0.8310323491048454,0,1,0,1,0,0,0,0
ENT_00069,2022_2024,commerce,Dapaong,large,154,489701463.4686066,2091454.5315551087,1,0.7219574001146148,1,0.7333864849802872,1,0.7741245357890402,0,0.5052888322092779,407183309.2332122,61670700.22533244,1,,934589.1442560644,,1,1,0,0,130,0.8314929392881335,0,1,0,1,0,0,0,0
ENT_00070,2022_2024,agriculture,Dapaong,informal,1,9034252.185824292,551346.9603548134,0,0.9297155152694928,0,0.608479961638579,0,0.8957908765194573,1,0.0551612156074822,7047063.603945727,0.0,0,,302794.43528597127,,35,0,0,0,0,0.7800383981978413,0,1,0,1,0,0,1,1
ENT_00071,2022_2024,industrie,Sokodé,rsi,5,51835308.32830624,4669746.181135035,0,0.5841583657963259,0,0.7655446915147915,0,0.9717967287452904,0,0.2937702636269182,37663820.99786577,,0,0.0,4137263.363399776,,3,1,0,0,4,0.7266055168287345,1,0,0,1,0,0,0,0
ENT_00072,2022_2024,restauration,Aného,informal,1,7033904.079673392,1069438.521120655,0,0.9447248273979076,0,0.3861295159461557,0,0.9764378030649972,1,0.5437431969864441,4667023.761986414,0.0,0,0.0,727781.3626316262,1.0,4,1,0,0,0,0.6635040383153931,0,0,0,0,0,0,0,0
ENT_00073,2022_2024,restauration,Lomé,rsi,10,33753289.31124559,2275882.6046662093,0,0.7770171384235681,0,0.5976806321217337,0,0.8734208065997902,0,0.2324941545703364,28311564.745535366,,0,,2070445.3961381384,,2,1,0,1,8,0.838779429301511,1,1,0,1,0,0,0,0
ENT_00074,2022_2024,services,Kara,rsi,3,43435567.19213781,2286747.9496911108,0,0.6415390262460201,0,0.7106008425345997,0,0.9660218110579132,0,0.1644141058893836,20263055.14378246,0.0,0,0.0,2205705.41898179,,3,0,0,0,2,0.4665083583264509,0,0,0,1,0,0,0,0
ENT_00075,2022_2024,restauration,Lomé,informal,1,8302142.885289793,67641.05550217585,0,0.8632776606899469,0,0.5480441222365793,0,0.9495882970452056,1,0.1967424821505017,4665085.51146938,0.0,0,0.0,48386.85821728296,0.0,48,0,0,0,0,0.5619134211403712,0,0,0,0,0,0,1,1
ENT_00076,2022_2024,industrie,Tsévié,large,376,1633094565.747131,72199310.12145537,1,0.8032099385089108,1,0.6864169345591307,1,0.8183195650404151,0,0.4392909663884196,1238751859.1853447,253226030.0096153,1,12697411.193222182,45596304.69008048,,3,0,1,0,319,0.7585303908096852,0,0,0,1,0,0,0,0
ENT_00077,2022_2024,industrie,Atakpamé,informal,5,9468855.23325105,617582.6065931235,0,0.6434824551211307,0,0.7033997428509055,0,0.925799775188686,1,0.1046558315119333,7256182.341672785,0.0,0,0.0,,,39,1,1,0,4,0.7663209715353771,0,0,1,1,0,0,1,1
ENT_00078,2022_2024,BTP,Atakpamé,informal,2,19619745.937240984,1846213.9332610108,0,0.8034722236480596,0,0.5205927339930084,0,0.6456430742290641,1,0.1584555001872823,16677527.238980168,0.0,0,0.0,1458622.5087495225,0.0,4,0,0,0,1,0.8500378798139236,0,0,0,0,0,0,1,1
ENT_00079,2022_2024,agriculture,Aného,informal,2,13551872.556062631,446620.0378628778,0,0.7283947382146895,0,0.3108934153953923,0,0.99048032354194,1,0.4599001951079396,8734203.452022221,0.0,0,,212379.0870300592,1.0,0,1,0,0,1,0.6445015931111929,0,1,0,0,0,0,0,0
ENT_00080,2022_2024,agriculture,Atakpamé,rsi,45,98197303.97963849,11696469.398555651,1,0.8067537747615994,0,0.7421723449572907,0,0.9917167797030466,0,0.1437524325984462,78256765.87311722,14134913.074340705,1,0.0,10993916.148330435,,0,1,1,0,38,0.79693395543063,0,0,0,1,0,0,0,0
ENT_00081,2022_2024,transport,Atakpamé,informal,4,27710379.01457424,2193456.484154276,0,0.9383462266778816,0,0.7675549923891299,0,0.9843005902524478,1,0.5021014731446641,18743975.57195182,0.0,0,0.0,1673740.214745049,1.0,10,1,0,0,3,0.6764243665557028,0,0,0,0,0,0,0,0
ENT_00082,2022_2024,transport,Atakpamé,rsi,12,36079601.47046888,2135092.926053602,0,0.9573135920335332,0,0.5830893902152808,0,0.9372401141974468,0,0.5085131581667635,29643700.09533623,0.0,0,0.0,1185808.5896898424,,2,0,1,0,10,0.8216193884402956,0,0,0,1,0,0,0,0
ENT_00083,2022_2024,services,Aného,rsi,9,37240347.78648122,4804758.886504931,0,0.92761948695527,0,0.7455952422357058,0,0.698880857961823,0,0.4306812670187801,32266653.467371743,0.0,0,0.0,2392588.976775612,,3,1,0,0,7,0.8664433976925693,0,0,0,1,0,0,0,0
ENT_00084,2022_2024,industrie,Kara,rsi,11,63278619.62029594,4011472.132618261,1,0.7589532566423745,0,0.4891402357284149,0,0.7692485373399477,0,0.2526850085608196,24427906.2180078,,1,0.0,1980438.7110845407,,12,1,1,0,9,0.3860372802786742,1,0,0,1,0,0,0,0
ENT_00085,2022_2024,transport,Sokodé,informal,3,12865504.221057853,1534558.1666714342,0,0.8330081598996935,0,0.7458705452491151,0,0.8816390963235949,1,0.1983004492849073,6165945.471503785,0.0,0,0.0,1051097.788575421,,6,1,0,0,2,0.4792618591202636,0,0,0,1,0,0,1,1
ENT_00086,2022_2024,restauration,Kara,informal,4,24949364.852132868,2121675.4404439726,0,0.7174131626195334,0,0.6261017672163686,0,0.8990399529049411,1,0.5227973287132189,21644713.585439805,,0,,1388579.6015652583,1.0,1,1,0,0,3,0.8675456755601313,1,1,0,0,0,0,0,0
ENT_00087,2022_2024,industrie,Atakpamé,informal,14,23579037.197156776,1714361.8461828534,0,0.8267359376455293,0,0.6609923849490927,0,0.8107945377641403,1,0.2913185906571701,13277356.711852577,0.0,0,0.0,1481336.785606065,1.0,8,1,0,0,11,0.5631000367332045,0,0,0,0,0,0,1,1
ENT_00088,2022_2024,commerce,Tsévié,informal,1,24127429.93881924,1442392.2975036553,0,0.904557856023203,0,0.4444150498177092,0,0.8631219165234306,1,0.3779577368281188,10854074.9227008,0.0,0,0.0,1374506.0048318426,0.0,4,0,0,0,0,0.449864529716752,0,0,0,0,0,0,0,0
